what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1747288600828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1747288611288
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1747288612851
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747288616270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747288620655
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1747288621665
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1747288621668
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1747288621670
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1747288621670
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747288621760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747288626041
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1747288629526
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1747288629667
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1747288629792
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1747288631560
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1747288735131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747288738692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747288741495
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747288746890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747288750664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747288750991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747288755533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747288844490
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747289068141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747289069516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747289302232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747289304524
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747289827959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747289830688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747289833524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747289833732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747313219325
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747313219340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747313223582
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1747313223667
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747313223757
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1747313223915
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1747313223921
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1747313223921
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1747313223921
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1747313223921
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1747313223921
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1747313223921
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1747313223921
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1747313223921
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1747313223921
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1747313223921
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1747313223921
