what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1747110214294
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1747110214750
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1747110216836
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1747110220109
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1747110221131
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1747110221532
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1747110223510
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747110224264
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747110245031
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1747110246744
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747110254670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747110258674
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1747110264391
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1747110265460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747110266784
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747110268145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747110268454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747110271992
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1747110274031
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1747110303980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747110306887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747110318865
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1747110319395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1747110319717
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1747110323172
